DAILY PAID ENTRY REPORT (Jan 28 - Today)
============================================================
Date            | Event Name                               | Count
-----------------------------------------------------------------
2026-01-28      | Free Fire Pro                            | 43   
                | Web Treasure Hunting                     | 27   
                | Squid Game: In Tech World                | 19   
                | Ludo King                                | 16   
                | Escape Room                              | 10   
                | BGMI                                     | 9    
                | Brain Booster Math                       | 7    
                | Mystic Mover                             | 5    
                | Blind Code                               | 5    
                | Spin Mania                               | 5    
                | AI Prompt Battle                         | 4    
                | Case Catalyst                            | 4    
                | Quantum Quest Physics                    | 4    
                | Robo Mind Matrix                         | 4    
                | Break The Bot                            | 3    
                | Real Life Among Us                       | 2    
                | Fold & Build                             | 2    
                | Treasure Hunt                            | 2    
                | Robo Rush                                | 2    
                | Drone Dash                               | 1    
                | ROBO WAR PRO                             | 1    
                | Bull Vs Bear                             | 1    
                | Puzzle Hunt                              | 1    
                | Survivor Drop                            | 1    
                | Cricket Carnival                         | 1    
                | Subtotal for 2026-01-28                  | 179  
-----------------------------------------------------------------
2026-01-29      | Ludo King                                | 32   
                | Web Treasure Hunting                     | 23   
                | Treasure Hunt                            | 18   
                | Free Fire Pro                            | 16   
                | Fold & Build                             | 14   
                | Survivor Drop                            | 13   
                | BGMI                                     | 8    
                | Word Wizard English                      | 7    
                | Squid Game: In Tech World                | 6    
                | Robo Rush                                | 5    
                | Cricket Carnival                         | 4    
                | Escape Room                              | 4    
                | Puzzle Hunt                              | 3    
                | Mystic Mover                             | 2    
                | Break The Bot                            | 2    
                | Robo Mind Matrix                         | 2    
                | Blind Code                               | 2    
                | Robo Football Clash                      | 2    
                | Bridge Battle                            | 1    
                | AI Shape Cipher                          | 1    
                | Dream to Deal                            | 1    
                | Brain Booster Math                       | 1    
                | AI Prompt Battle                         | 1    
                | Spin Mania                               | 1    
                | Reverse Coding                           | 1    
                | Subtotal for 2026-01-29                  | 170  
-----------------------------------------------------------------
2026-01-30      | Free Fire Pro                            | 44   
                | Mystic Mover                             | 37   
                | Ludo King                                | 31   
                | Web Treasure Hunting                     | 26   
                | BGMI                                     | 21   
                | Escape Room                              | 20   
                | Treasure Hunt                            | 15   
                | Survivor Drop                            | 8    
                | Fold & Build                             | 7    
                | Word Wizard English                      | 6    
                | Puzzle Hunt                              | 6    
                | Logo Hunt                                | 6    
                | Robo Mind Matrix                         | 5    
                | Break The Bot                            | 5    
                | Real Life Among Us                       | 4    
                | Spin Mania                               | 4    
                | Robo Rush                                | 4    
                | Mini Musti For 1 Min                     | 3    
                | Drone Dash                               | 3    
                | Dream to Deal                            | 3    
                | AI Prompt Battle                         | 2    
                | Squid Game: In Tech World                | 2    
                | Brain Booster Math                       | 2    
                | Bridge Battle                            | 2    
                | Blind Code                               | 1    
                | Case Catalyst                            | 1    
                | Bull Vs Bear                             | 1    
                | Reverse Coding                           | 1    
                | ROBO WAR PRO                             | 1    
                | Subtotal for 2026-01-30                  | 271  
-----------------------------------------------------------------
2026-01-31      | Free Fire Pro                            | 8    
                | Treasure Hunt                            | 7    
                | Squid Game: In Tech World                | 7    
                | Robo Rush                                | 5    
                | Word Wizard English                      | 4    
                | Escape Room                              | 4    
                | Web Treasure Hunting                     | 3    
                | Cricket Carnival                         | 3    
                | Mystic Mover                             | 2    
                | Ludo King                                | 2    
                | ROBO WAR PRO                             | 1    
                | Robo Football Clash                      | 1    
                | Drone Dash                               | 1    
                | Brain Booster Math                       | 1    
                | Subtotal for 2026-01-31                  | 49   
-----------------------------------------------------------------
2026-02-02      | Free Fire Pro                            | 37   
                | Mystic Mover                             | 31   
                | Web Treasure Hunting                     | 21   
                | Ludo King                                | 19   
                | BGMI                                     | 17   
                | AI Hunting                               | 17   
                | Break The Bot                            | 16   
                | Logo Hunt                                | 16   
                | Word Wizard English                      | 15   
                | Robo Football Clash                      | 14   
                | AI Quiz                                  | 12   
                | Treasure Hunt                            | 9    
                | Robo Mind Matrix                         | 7    
                | AI Prompt Battle                         | 7    
                | Escape Room                              | 7    
                | Fold & Build                             | 5    
                | Real Life Among Us                       | 5    
                | Squid Game: In Tech World                | 5    
                | Survivor Drop                            | 4    
                | Mini Musti For 1 Min                     | 4    
                | Puzzle Hunt                              | 4    
                | Case Catalyst                            | 4    
                | Bull Vs Bear                             | 4    
                | Robo Rush                                | 3    
                | Brain Booster Math                       | 3    
                | Spin Mania                               | 2    
                | Reverse Coding                           | 2    
                | Quantum Quest Physics                    | 2    
                | Ad Arena                                 | 1    
                | AI Shape Cipher                          | 1    
                | Blind Code                               | 1    
                | Subtotal for 2026-02-02                  | 295  
-----------------------------------------------------------------
2026-02-03      | Free Fire Pro                            | 40   
                | Mystic Mover                             | 40   
                | Web Treasure Hunting                     | 38   
                | Real Life Among Us                       | 34   
                | Logo Hunt                                | 28   
                | Break The Bot                            | 22   
                | Ludo King                                | 21   
                | AI Shape Cipher                          | 16   
                | Word Wizard English                      | 14   
